sku,old_external_product_id,new_external_product_id,classification,ecl_id,old_mapping_status
mk1122,mk1122,698934283,A_UPDATE_REPLACE_OLD_ID,b79e44d6-4fbd-49c3-9a5c-8eb8199ded91,active
mk1117,mk1117,698934310,A_UPDATE_REPLACE_OLD_ID,107d4995-4f1c-4639-82b8-c90e2cd7b47c,active
mk1670,691301123,698934311,A_UPDATE_REPLACE_OLD_ID,505893ba-326e-43ae-87c5-f597f18a47dc,active
mk1440,691301102,698934320,A_UPDATE_REPLACE_OLD_ID,80fa5692-5cf0-49c5-8213-237c5b934ddf,active
mk1186,mk1186,698934331,A_UPDATE_REPLACE_OLD_ID,5aeab871-de6d-4b46-ab07-6741494cd1dc,active
mk1185,mk1185,698934333,A_UPDATE_REPLACE_OLD_ID,68834dd1-e14e-4f59-8edd-cfd05468501f,active
mk1948,691300392,698934342,A_UPDATE_REPLACE_OLD_ID,5948af33-7a11-4d92-95ca-ee105be028ef,active
mk1610,691300407,698934349,A_UPDATE_REPLACE_OLD_ID,6e65afca-4188-434b-98c5-74f2ce591d25,active
mk1882,691301154,698934364,A_UPDATE_REPLACE_OLD_ID,bcdd7f60-b33a-4cd8-9c87-03df0309c1a1,active
mk1231,mk1231,698934373,A_UPDATE_REPLACE_OLD_ID,e6acd58a-8ac9-4abd-b901-03a5f0bdd2e9,active
mk869,mk869,698934396,A_UPDATE_REPLACE_OLD_ID,8c948f89-ef11-4587-80f8-6323788a5bf5,active
mk2327,,698934402,C_INSERT_NO_EXISTING_ROW,,
mk2045,mk2045,698934416,A_UPDATE_REPLACE_OLD_ID,11fd6561-4917-4d42-b788-47564a35f4dc,active
mk955,mk955,698934426,A_UPDATE_REPLACE_OLD_ID,606e53ca-1800-4628-b9f4-7193e49dedbd,active
mk1871,691300792,698934444,A_UPDATE_REPLACE_OLD_ID,b043d1d9-bd36-4136-acd9-2a11dae54306,active
mk1869,691300790,698934451,A_UPDATE_REPLACE_OLD_ID,5f84d7a9-6b01-4805-98ec-d09b2dea1567,active
mk1874,mk1874,698934454,A_UPDATE_REPLACE_OLD_ID,de1192c4-f553-4f08-8741-2a2dde4d7bc4,active
mk1054,mk1054,698934470,A_UPDATE_REPLACE_OLD_ID,d2067609-70e4-48d2-a8a9-372262aecfbf,active
mk1136,mk1136,698934480,A_UPDATE_REPLACE_OLD_ID,cd39a089-191f-47ed-b8b0-80fcd9822d0f,active
mk924,mk924,698934481,A_UPDATE_REPLACE_OLD_ID,0f7c3c9f-3fba-4465-b0ed-e7b45f30d3ba,active
mk2084,mk2084,698934483,A_UPDATE_REPLACE_OLD_ID,530fb56c-ad2b-46c2-805f-3984900ee8bf,active
mk1112,mk1112,698934485,A_UPDATE_REPLACE_OLD_ID,5457bd7b-1795-4421-9c08-541de3382c5a,active
mk1126,mk1126,698934502,A_UPDATE_REPLACE_OLD_ID,1350fb0c-2beb-45a9-8553-6b53b4093653,active
mk925,mk925,698934503,A_UPDATE_REPLACE_OLD_ID,7099bd2b-e568-4dd3-b564-4bf531e1a472,active
mk1479,691300919,698933171,A_UPDATE_REPLACE_OLD_ID,e24e104b-6eb4-41aa-a2d7-5a3d06c6dbb7,active
mk1715,691300854,698933173,A_UPDATE_REPLACE_OLD_ID,6f2c0e8f-3d6c-4fad-9add-34a120fcbeeb,active
mk1779,691300839,698933174,A_UPDATE_REPLACE_OLD_ID,31e6852f-be17-4b4f-9c8d-5c041fd32955,active
mk1788,691300835,698933175,A_UPDATE_REPLACE_OLD_ID,c99178ef-ca04-4482-bbac-9376c04be70b,active
mk1599,691300868,698933176,A_UPDATE_REPLACE_OLD_ID,f8e95a1d-d031-4bf0-b068-0b0280b15b7b,active
mk1336,mk1336,698933177,A_UPDATE_REPLACE_OLD_ID,f426108d-664a-4165-8f88-4f54392ccf79,active
mk1291,691712287,698933178,A_UPDATE_REPLACE_OLD_ID,048622a5-e218-4988-8468-9100eb2b2ae0,active
mk1351,691300938,698933179,A_UPDATE_REPLACE_OLD_ID,fd765070-c00a-46de-9181-035e4f729e3b,active
mk1475,mk1475,698933180,A_UPDATE_REPLACE_OLD_ID,3966d3e5-88b3-4715-923e-ba58906202e7,active
mk1749,691300845,698933181,A_UPDATE_REPLACE_OLD_ID,5727ef48-e7d5-4525-b65c-e6681436b454,active
mk1445,691300910,698933182,A_UPDATE_REPLACE_OLD_ID,cd2c2f29-7b32-4a81-a785-4061fc0881f1,active
mk1503,691300882,698933183,A_UPDATE_REPLACE_OLD_ID,67c134d6-8e74-48be-b811-2acee50ca2fa,active
mk1733,691300849,698933184,A_UPDATE_REPLACE_OLD_ID,e4a4a2a8-b5d0-407a-b3d5-c789fbb59cfe,active
mk1941,691300800,698933186,A_UPDATE_REPLACE_OLD_ID,2f1aec7b-c372-452c-8ec1-69e1ba7329e1,active
mk893,695343024,698933187,A_UPDATE_REPLACE_OLD_ID,12568899-c4de-4825-9e20-cbd0a8ac5636,active
mk1950,mk1950,698933188,A_UPDATE_REPLACE_OLD_ID,44eb0028-fc50-4e0d-923d-c0b80b01ad58,active
mk1425,mk1425,698933189,A_UPDATE_REPLACE_OLD_ID,7e66c274-7aeb-49be-89f9-0cbf402af787,active
mk996,694795393,698933190,A_UPDATE_REPLACE_OLD_ID,ef945640-7deb-415d-b4b2-96565b7ebb28,active
mk1995,mk1995,698933191,A_UPDATE_REPLACE_OLD_ID,256280b3-8653-4592-8456-31bdaac02651,active
mk2137,mk2137,698933192,A_UPDATE_REPLACE_OLD_ID,637a4b46-5e80-4938-b0e0-bb724e374496,active
